category,quantity,particle,target,hA2018_slope,hA2018_intercept,hA2018_floor,hA2018_exp,hN2018_slope,hN2018_intercept,hN2018_floor,hN2018_exp,INCL_slope,INCL_intercept,INCL_floor,INCL_exp,Geant4_slope,Geant4_intercept,Geant4_floor,Geant4_exp
Sum,Gamma,2212,1000060120,-1.1923269160191152e-07,0.20974522021503758,0.003111095048303195,4.998882077709034,-1.5993347171782908,1.7594375120873946,8.358157716826554e-08,0.10319515202622008,-3.8457589261718543,2.7041743309257518,0.4699437141919841,0.7212045455995725,-4.478471463043722,0.9802680485171582,0.3778970903038219,1.6314351812940044
Difference,Std,2212,1000060120,0.025609730413821863,2.076124174779986,,,-0.024132361491465915,1.5650506392692747,,,-0.042911043816820205,1.0851745062320703,,,-0.03833862724946302,1.1546818790340518,,
Difference,Mean,2212,1000060120,0.03965713240333035,1.5894760525346883,,,0.006663143539429539,1.4666223303237573,,,0.06864260726573201,1.378278157772298,,,-0.10955378861331466,1.70538685745321,,
Sum,Gamma,2212,1000180400,-0.04466787876417959,0.11730098890285481,0.006993406642880313,3.2000420439301016,-4.706406655697657,0.19129853252560675,0.1374402773452817,2.721375478544716,-4.704064640826881,6.809818202400011,0.2036026326445939,0.4406858107574211,-3.3876393866375776,1.9571529108628003,0.09066449897993498,0.7590136471937136
Difference,Std,2212,1000180400,-0.02304513062672231,2.405380496919678,,,0.20427161019223528,2.048711441583805,,,0.24771544105588628,1.3776184486012097,,,0.12203569429422423,1.5598508218749447,,
Difference,Mean,2212,1000180400,-0.00858241379978597,0.4249121686911766,,,-0.1964320303427386,0.9924735124410309,,,-0.08807115396858356,0.3556651534332186,,,-0.5100941023843086,0.834163219655621,,
Sum,Gamma,2212,1000080160,-2.9447148331210315e-07,0.16958756574906134,0.011521944979772642,0.9471637528917493,-4.970397265324991,7.924698830109076,0.23937838914724766,0.18245892734346317,-3.5932925621859364,2.4411939706111854,0.47224310664333324,0.8240856167063647,-4.247459208393807,1.0172827848150545,0.30223155296925563,1.6352202136320764
Difference,Std,2212,1000080160,0.0011061285681732702,2.166702496722228,,,-0.008941594492774652,1.6803019043724428,,,0.009172307329875812,1.1461397807410632,,,-0.01162099449675246,1.2013551232878341,,
Difference,Mean,2212,1000080160,0.018709754372000065,1.5989311055714257,,,-0.0028684497625375283,1.4801554475156962,,,0.06810145187693939,1.390613395883184,,,-0.1522977317834895,1.834159887874791,,
Sum,Gamma,2212,1000260560,-0.3338969348752028,0.052820532724887855,0.059505833507736416,2.9499049220590723,-4.642508933104064,0.19918787778293776,0.10692336603820395,2.434728157621654,-4.067529687711639,2.9772460841433643,0.1583634011480601,0.580248063784141,-3.3271331015778784,3.2049189382982632,5.3382375614103444e-11,0.4905252754324688
Difference,Std,2212,1000260560,-0.0028944044562413396,2.520357503895136,,,0.31958044275872033,2.1605860626323383,,,0.312437077323506,1.3730637918111217,,,0.24385816046310038,1.4853304450695362,,
Difference,Mean,2212,1000260560,0.00045170098164593053,0.7073756517266987,,,-0.23053774729977328,1.103312805963015,,,-0.15813649844867772,1.1519722868637483,,,-0.547179230056891,1.8683726062535095,,
Sum,Gamma,2112,1000060120,-0.5661995967674378,6.519664466527993e-08,0.211909866760156,2.788026187756229,-1.4010140223884557,1.5131005292878752,9.45784305168986e-06,0.1000000452691357,-3.980963754619162,3.227457029627064,0.4696810498007589,0.6676698858579124,-4.297858649176778,1.1054896488811625,0.37463196086847034,1.3953557698098193
Difference,Std,2112,1000060120,0.023751439142674746,2.0496840854726384,,,-0.014585795172553206,1.5577961991832288,,,-0.044435937811670434,1.092672405074608,,,-0.029560105160001737,1.1317152029025501,,
Difference,Mean,2112,1000060120,-0.04796594396355419,-0.40295255601359914,,,-0.002969952317951663,-0.48047866858997007,,,-0.09908632358909991,-0.19682508469144888,,,0.06781081103832831,-0.46349738413632974,,
Sum,Gamma,2112,1000180400,-0.023893454847547405,0.12366406822373914,0.0006097716958340087,4.164145307830032,-3.8305332498271287,0.21274485101528912,0.1500903639546924,2.0211282608512877,-3.9471131652332003,2.068171000503307,0.2141484526524773,0.7662153779978057,-3.2923490659331502,1.832806786895177,0.08783198010223946,0.7769781769444918
Difference,Std,2112,1000180400,-0.01817708224768344,2.325655529720624,,,0.17238238616876478,2.0530343732652656,,,0.2088490210865741,1.4218892000562537,,,0.19196667111491394,1.4618992181586412,,
Difference,Mean,2112,1000180400,-0.09828178309139399,-1.3898522248792846,,,-0.1624506569027332,-0.9717432688001733,,,-0.3407579883609379,-0.8803103775017618,,,-0.3146518320674194,-1.2028311749233804,,
Sum,Gamma,2112,1000080160,-9.238437192179982e-06,0.17769481735816012,0.0032199904438367857,0.974596749059537,-5.6526502088532435,0.1625233889866707,0.2941210726057744,2.8461410311619657,-4.605345519754293,9.999939079236194,0.45383753642602487,0.43302217922617803,-4.3938164635676635,1.0355880206280474,0.31110613831433115,1.5889872225338064
Difference,Std,2112,1000080160,-0.00224420935824976,2.143080019023735,,,-0.0077445400986631,1.684629398324811,,,-0.0009361052679090626,1.1706655517865703,,,-0.008569533568085055,1.1942820073657097,,
