category,quantity,particle,target,hA2018_slope,hA2018_intercept,hN2018_slope,hN2018_intercept,INCL_slope,INCL_intercept,Geant4_slope,Geant4_intercept
Sum,Mean,211,1000060120,1.0770377773194268,4.099396599999277,2.124891801572013,4.800753352723514,1.3061470724486877,3.4173506343485673,0.7052270986428597,2.0390804908155937
Sum,Std,211,1000060120,0.6135535142984833,0.836130209439202,0.28059629175721845,3.2331887210130814,0.8760057284728825,1.3756917929031915,1.258920703491946,2.7658871367695514
Sum,Mean,211,1000180400,3.7610695992714565,4.925604197660276,6.676603413254024,7.1275185779360495,4.964697772856609,1.8700772709925446,8.635827121750744,1.799774249142939
Sum,Std,211,1000180400,2.1373568287929046,1.6615654452057167,1.226608477586134,4.516583311182451,3.749354159359532,2.4962420095859628,1.4929739147480976,3.014082719171739
Sum,Mean,211,1000080160,1.498120854469772,4.203721380686494,3.259017714346905,5.066869002500804,1.80171772563021,2.993664002991376,2.567561239146989,3.1655306697227927
Sum,Std,211,1000080160,0.9072708274598307,0.9468531295519644,0.7763362218864782,3.401346047011793,0.8654666877852129,1.4225274948350561,1.0680604849371744,2.249052216712635
Sum,Mean,211,1000260560,5.029503198040106,5.703663951000555,9.126093122459038,6.700597959737533,5.670434474845634,3.651350382593204,10.204355129762751,1.600702655069092
Sum,Std,211,1000260560,2.5277746690680596,2.2597273748431244,1.778550206042627,4.63124475831545,1.6103943698941392,2.1473381764031245,2.0126766917648107,2.6716443489045103
Difference,Mean,211,1000060120,2.9002383934760148,1.7511085785484672,-0.1257335574441174,2.331824226846567,0.12013862387110574,2.2435746660200415,-0.2029799912280965,2.1774960684874993
Difference,Std,211,1000060120,-0.10018110589948037,3.725362537386201,-0.005626774876381191,1.3204335197071586,-0.10421682537290589,1.0109398169286623,0.13894288471668848,0.9416290521799411
Difference,Mean,211,1000180400,2.2903019719411004,0.8904504668582313,-0.6633255384637153,1.4799908413188188,-0.4752186364876153,1.1071860304602805,-1.0096496333889613,1.398093103641753
Difference,Std,211,1000180400,0.29868932992154296,3.260377797161097,0.31820089465969104,2.281119094131458,0.7081302980777618,1.2766700607914523,0.29565439501112034,1.3652483069573451
Difference,Mean,211,1000080160,2.8132213935669,1.9099524961265963,-0.046306744933594546,2.188888582206432,0.18181262899550266,2.1436840256751974,-0.11611871504740168,2.2394667661928507
Difference,Std,211,1000080160,-0.19509596064521872,3.9639318725441406,0.010586686684977309,1.569796674482132,0.037189572381553626,1.0794467091463114,0.11492112568006219,1.064408933961574
Difference,Mean,211,1000260560,1.8171221300018736,0.9452844417410451,-0.7655055647806388,1.6732450724646586,-0.6367389799658532,1.9306581882549758,-0.6924055739839496,2.2436672330577325
Difference,Std,211,1000260560,0.359141948674373,3.3993931585441874,0.680903808954546,2.3668769243755245,0.745204557049522,1.2929519245127201,0.38579251023510563,1.4333600958288006
Sum,Mean,111,1000060120,0.8463206068145346,4.1348788049658864,1.7051299883764828,5.457143116727631,1.438963698318698,3.3941141691657153,0.4335290616706926,1.9058075681671127
Sum,Std,111,1000060120,0.6222242713382292,0.8040510933806881,-0.020725459828877746,3.100128220175635,1.0084959169249894,1.2470775426605052,2.2666646029999926,2.05897258795431
Sum,Mean,111,1000180400,3.4946617534621165,4.9809172689721235,6.881271329862708,6.902780539134779,5.603154788639757,1.626756107066678,9.272027940899653,0.8899009216153302
Sum,Std,111,1000180400,2.25060035179345,1.6529109556024106,1.6484354333339621,4.05744964693071,3.2671364694162235,2.617531619685935,1.3174346318084893,3.4054212876727243
Sum,Mean,111,1000080160,1.309199816586999,4.183023678297554,3.1106721987402683,5.493959577528264,1.7053142963911134,3.0618262224113844,3.2341141217175235,1.9928732996212049
Sum,Std,111,1000080160,0.9128786130493034,0.9171616620763763,0.636351548140528,2.960067953629517,0.8160822635175092,1.4066399743191504,0.43652453399150337,3.10328125520034
Sum,Mean,111,1000260560,4.914287520428953,5.6408458156533845,8.02241799721756,7.353833539206232,5.653555930751147,3.6493224267115756,10.832620393864413,0.7434160104858858
Sum,Std,111,1000260560,2.6421069499125758,2.241974377998397,1.7590015843704356,4.346407860539159,1.6016068088993642,2.176545443734324,1.853343062253694,3.0422747537485657
Difference,Mean,111,1000060120,2.9052409718894054,-0.13174083122731906,0.030904739093093547,0.4817145477911008,0.05913918421233377,0.515259452307971,-0.09371140012030788,0.5964773616330301
Difference,Std,111,1000060120,-0.10029284682758499,3.7672852350534134,0.006559940993502877,1.3559078076165771,-0.16641814939126953,1.0967882626953007,-0.17161590365329027,1.321469879064748
Difference,Mean,111,1000180400,2.089055000428472,-0.5500915374848369,-0.6140071757074893,-0.06217487634686314,-0.5835602807997837,-0.30958804447815685,-1.1870185084757325,0.03349141025243696
Difference,Std,111,1000180400,0.4757801591136661,3.2004865918721634,0.4925066987013398,2.1846510594034347,0.5297043930140584,1.4071687287642776,0.029477316089680405,1.7337688474940942
Difference,Mean,111,1000080160,3.1403863940754313,-0.3687888512721951,0.03206080969005343,0.453894787985168,-0.032135645058578355,0.6270708859494155,-0.13280864230780598,0.7141699940491602
Difference,Std,111,1000080160,0.15473642835036605,3.658020834114998,-0.044826979923468846,1.6471976078051762,-0.036639585876501846,1.203781114652076,-0.21727006265357174,1.4185124435260255
Difference,Mean,111,1000260560,1.4230661005330636,-0.5135769592143501,-0.5219874097208242,-0.02003623623564866,-0.6510452116646029,0.5006731962655018,-0.9025990101015706,0.9183709716997202
Difference,Std,111,1000260560,0.3809899655211031,3.4108367292488446,0.553206727266329,2.4633682169221287,0.7026669871364342,1.3688481577261524,0.23544781367016587,1.6587934641665703
Sum,Mean,-211,1000060120,0.665796891339947,4.2362131850363,2.359325955726988,4.8110254934157926,1.480263971832725,3.2562399651454403,2.2654302229745307,1.0971203148678643
Sum,Std,-211,1000060120,0.618644028566373,0.8173297282893119,0.3440052153080817,2.7929921842541963,0.8435956416525091,1.413487316591684,1.4319604307035387,2.7551913179078547
Sum,Mean,-211,1000180400,3.4978540251662458,5.035599598197662,7.386481425811003,6.242238218511952,5.520823929722038,1.8666978707187076,8.255340890519374,2.4078965065622873
Sum,Std,-211,1000180400,2.35360344532808,1.5691398634054736,1.2767938418123466,4.31819014770819,2.979778362044044,2.6283067868830337,1.4436251487868876,3.007269072711856
Sum,Mean,-211,1000080160,1.0830453835383365,4.321483995153213,5.379669427934923,3.9192702870869165,1.9063137102124625,2.8649139069827383,4.6220430314405,1.2157757802975644
Sum,Std,-211,1000080160,0.960088106138738,0.9015364785926503,0.7569432769432733,2.9448084271401758,0.9527185740808249,1.376382803419392,-0.08327767130081787,3.5171482050613854
Sum,Mean,-211,1000260560,4.838211049927571,5.880400852328295,8.824957622713285,6.470772866953937,5.910212284286742,3.49009081401845,10.634082040236454,1.3621296683281434
Sum,Std,-211,1000260560,2.5376416470638037,2.253464735630685,1.2986457789395267,4.498500338523414,1.5501992908121138,2.281755915202642,1.7488099702959494,2.959102317427279
Difference,Mean,-211,1000060120,2.7609300826353493,-1.8364991660863592,0.18330419292190214,-1.3553790568043789,-0.16986429937280356,-1.1108622157174262,0.05449697202553638,-0.9972981869858252
Difference,Std,-211,1000060120,0.21945591734033654,3.473150177566641,-0.056907102848803515,1.3899456893533473,-0.05844159824489825,0.9972424206378747,0.15903851080485631,0.962884217947266
Difference,Mean,-211,1000180400,1.650814442084851,-1.8136076416258968,-0.29816091047635346,-1.8298406105140903,-0.7577031140020847,-1.6395360456418975,-1.360328707682445,-1.3789428612301387
Difference,Std,-211,1000180400,0.47723618795710454,3.1881903543584187,0.4975692120651849,2.1689293060967394,0.57773152802465,1.355370195376264,0.2633162937257787,1.600188834355933
Difference,Mean,-211,1000080160,2.7501101788634443,-1.9628562888887628,0.0008123704191710102,-1.168460493749143,-0.22173738942313267,-0.9144734650587139,0.034531101208957055,-0.9205905488244401
Difference,Std,-211,1000080160,0.26524504128339155,3.4929643688145378,-0.012075643425958571,1.5923056777354363,-0.02300012128478679,1.1188855646809877,0.23127825988825224,1.0196525598071324
Difference,Mean,-211,1000260560,1.1088858218250066,-1.9991634846728923,-0.265936729306676,-1.632715486469913,-0.9133325648003394,-0.756477634129537,-1.1672234669357417,-0.36345678099582907
Difference,Std,-211,1000260560,0.5255880910583999,3.2859037961986415,0.6521916644250507,2.355105126653738,0.7073234456831838,1.3455135378758492,0.4935834018331396,1.4833604513680179
