probe,ke,target,consthA,constErrhA,slopehA,slopeErrhA,consthN,constErrhN,slopehN,slopeErrhN,constINCL,constErrINCL,slopeINCL,slopeErrINCL,constGeant4,constErrGeant4,slopeGeant4,slopeErrGeant4
2112,1.725,1000060120,0.264898,0.440488,0.239739,0.437746,0.365397,0.57347,0.353272,0.487637,0.224095,0.399655,0.226408,0.460782,0.28479,0.472062,0.274746,0.458919
2112,1.775,1000060120,0.270241,0.447566,0.24651,0.440316,0.390931,0.608365,0.382549,0.504826,0.205658,0.374344,0.204136,0.455875,0.26903,0.452522,0.259352,0.455336
2112,1.825,1000060120,0.271121,0.44941,0.247197,0.440827,0.399007,0.618823,0.390463,0.508988,0.215257,0.387144,0.213767,0.456353,0.287719,0.478918,0.285254,0.468013
2112,1.875,1000060120,0.28042,0.460646,0.258562,0.444553,0.391245,0.607807,0.381006,0.502815,0.220645,0.394774,0.220844,0.458498,0.331939,0.540204,0.340034,0.495913
2112,1.925,1000060120,0.245335,0.414012,0.215089,0.428934,0.38813,0.60438,0.379156,0.502637,0.216437,0.388837,0.214446,0.456126,0.327541,0.533499,0.333394,0.491496
2112,1.975,1000060120,0.283681,0.465988,0.263512,0.44754,0.381012,0.594984,0.371837,0.498691,0.217045,0.392184,0.221502,0.463307,0.297097,0.49019,0.293594,0.469662
2112,2.025,1000060120,0.273761,0.453267,0.251495,0.443111,0.386927,0.603429,0.379128,0.503385,0.237175,0.418054,0.247686,0.470124,0.336884,0.545716,0.343214,0.495943
2112,0.075,1000080160,0.252379,0.391577,0.240762,0.331556,0.585467,0.850464,0.57749,0.59492,1.16777,1.78578,1.11013,1.16754,1.65306,2.7066,1.5063,1.65202
2112,0.125,1000080160,0.214765,0.34213,0.198486,0.311226,0.503917,0.732529,0.498329,0.520779,0.817535,1.20325,0.797203,0.819537,1.07222,1.61929,1.02855,1.07386
2112,0.175,1000080160,0.190435,0.310395,0.169601,0.299585,0.461837,0.672962,0.457416,0.484747,0.595052,0.863753,0.587606,0.604651,0.904886,1.34359,0.876474,0.905142
2112,0.225,1000080160,0.186504,0.305187,0.164887,0.297851,0.453093,0.661299,0.448326,0.477063,0.50408,0.733112,0.499969,0.522777,0.81132,1.19404,0.790734,0.812713
2112,0.275,1000080160,0.182325,0.300023,0.159855,0.296296,0.442944,0.646953,0.438343,0.468571,0.457278,0.667245,0.453912,0.482267,0.717061,1.04743,0.702959,0.720579
2112,0.325,1000080160,0.177897,0.293327,0.155408,0.294638,0.421021,0.616996,0.416316,0.450481,0.418339,0.613232,0.416077,0.450957,0.681604,0.993873,0.668939,0.685734
2112,0.375,1000080160,0.182039,0.299702,0.159848,0.29647,0.425487,0.623185,0.420908,0.454271,0.37347,0.55375,0.371185,0.416726,0.615971,0.895507,0.606467,0.623138
2112,0.425,1000080160,0.187747,0.307377,0.167835,0.299849,0.408107,0.599291,0.403531,0.440269,0.340952,0.510054,0.339185,0.394001,0.570461,0.828366,0.563345,0.581343
2112,0.475,1000080160,0.182909,0.301113,0.161902,0.297765,0.396956,0.584203,0.392491,0.431689,0.319473,0.482075,0.318309,0.38054,0.499783,0.725759,0.495642,0.518382
2112,0.525,1000080160,0.189322,0.308639,0.169759,0.300559,0.38366,0.566114,0.379083,0.42137,0.297836,0.453468,0.294879,0.365301,0.457855,0.667835,0.454801,0.483032
2112,0.575,1000080160,0.184968,0.304183,0.165374,0.299618,0.369262,0.546826,0.364852,0.410891,0.28041,0.432205,0.279181,0.357589,0.426265,0.624461,0.422243,0.4556
2112,0.625,1000080160,0.186659,0.30615,0.166973,0.299847,0.356362,0.529605,0.351267,0.400923,0.260058,0.405704,0.257595,0.345604,0.368757,0.546163,0.365543,0.411775
2112,0.675,1000080160,0.191153,0.312325,0.1725,0.302087,0.330541,0.494977,0.325433,0.383098,0.243385,0.384074,0.239817,0.336546,0.345707,0.515247,0.341348,0.394156
2112,0.725,1000080160,0.190176,0.309553,0.170897,0.30124,0.323099,0.485088,0.317334,0.377562,0.233958,0.371449,0.230815,0.332491,0.32434,0.487439,0.319889,0.379969
