probe,ke,target,meanhA,meanErrhA,stdhA,stdErrhA,meannhN,meanErrhN,stdhN,stdErrhN,meanINCL,meanErrINCL,stdINCL,stdErrINCL,meanGeant4,meanErrGeant4,stdGeant4,stdErrGeant4211,0.325,1000060120,4.46857,1.04571,1.02031,0.789967,4.17663,9.47474,3.38508,5.87784,4.85573,10.5056,4.39579,14.2107,2.04551,11.7531,4.54989,6.32018
-211,1.225,1000060120,5.05505,1.70647,1.56043,1.34509,9.26237,11.7658,5.00684,13.3346,2.01878,14.0985,26.6663,24.6949,2.00001,10.6035,6.425,9.47389,,,,,,,,,,,,,,,,,,
-211,1.275,1000060120,5.02959,1.84721,1.64302,1.46322,9.34401,11.3016,5.16124,14.0656,18.6396,9.12127,29.2084,28.2921,2.00349,17.9981,5.7951,7.79753,,,,,,,,,,,,,,,,,,
-211,1.325,1000060120,5.14029,1.93024,1.71232,1.53238,8.0231,5.21465,3.42769,5.8831,3.70547,11.945,5.34843,15.8111,2.00005,13.4662,7.09646,19.0232,,,,,,,,,,,,,,,,,,
-211,1.375,1000060120,5.04666,1.8524,1.64975,1.46725,8.42944,3.90162,2.68483,3.49109,2.00033,15.0989,8.5416,17.1671,2.00042,13.9515,6.63971,9.85963,,,,,,,,,,,,,,,,,,
-211,1.425,1000060120,5.08882,2.15195,1.82757,1.71204,2.62576,14.5885,13.2782,19.824,2.04733,11.2634,7.1095,13.7667,2.00051,13.615,4.94687,5.54461,,,,,,,,,,,,,,,,,,
-211,1.475,1000060120,5.19376,1.92103,1.71769,1.5244,9.39864,12.4358,3.55283,6.60246,2,10.1278,8.85856,17.3656,2,16.8785,5.1724,5.87358,,,,,,,,,,,,,,,,,,
-211,1.525,1000060120,5.20823,2.02915,1.78339,1.61596,19.9741,9.15088,10.7206,19.6476,5.36389,9.9079,4.20974,14.4383,2.00039,15.4968,5.19294,5.7873,,,,,,,,,,,,,,,,,,
-211,1.575,1000060120,5.2363,2.08937,1.82451,1.667,19.9819,12.0359,12.3311,20.6715,2.12984,15.5262,7.31061,14.1593,2.00008,10.9123,5.31585,6.34548,,,,,,,,,,,,,,,,,,
-211,1.625,1000060120,5.27771,1.92624,1.73506,1.52931,9.20493,12.3326,3.55271,6.74072,2.00027,17.9088,8.54207,17.4339,2.00031,14.6423,5.32061,6.22618,,,,,,,,,,,,,,,,,,
-211,1.675,1000060120,5.28175,1.93883,1.74411,1.5397,8.33219,3.44936,2.52011,3.04397,2.56272,9.27196,5.79023,17.1416,2.00021,14.8213,4.68634,4.72463,,,,,,,,,,,,,,,,,,
-211,1.725,1000060120,5.428,2.02775,1.82426,1.61903,7.47167,3.6995,2.91312,4.0117,19.8821,17.7821,18.5152,21.6399,2.00004,17.8985,5.27939,6.1575,,,,,,,,,,,,,,,,,,
-211,1.775,1000060120,5.32811,2.03867,1.81179,1.62686,9.80398,12.7055,3.49242,6.45357,2.05087,15.7199,12.5425,14.5118,2.00024,16.8844,4.41724,4.22335,,,,,,,,,,,,,,,,,,
-211,1.825,1000060120,5.38467,2.08877,1.85234,1.67267,11.2587,13.5607,3.47539,12.2767,6.57557,10.603,5.62337,17.1261,2.00015,17.9962,5.04099,5.48888,,,,,,,,,,,,,,,,,,
-211,1.875,1000060120,5.51045,1.96621,1.79911,1.56432,8.81691,3.32726,2.31351,2.67839,2.01898,9.54324,7.79969,14.6631,2.00003,17.6381,4.82744,4.96257,,,,,,,,,,,,,,,,,,
-211,1.925,1000060120,5.35628,2.07215,1.838,1.65684,10.9265,13.3167,3.77207,13.0947,2.00005,10.5896,6.17982,8.75638,2,17.9694,5.00919,5.3729,,,,,,,,,,,,,,,,,,
-211,1.975,1000060120,5.41055,2.19509,1.91942,1.76859,11.841,13.04,3.53218,11.7665,2.00002,17.8898,3.56968,3.0779,2.00002,15.8776,5.07918,5.75348,,,,,,,,,,,,,,,,,,
-211,2.025,1000060120,5.45607,2.09037,1.86697,1.67684,8.82113,5.15903,2.9296,4.47013,2,16.3279,13.559,18.8708,2.00048,11.9282,4.97192,5.36505,,,,,,,,,,,,,,,,,,
-211,0.075,1000080160,2.00001,11.5285,0.686849,0.483445,2.00004,17.745,3.3019,2.30292,2.00033,9.70225,4.41134,3.23109,2.0001,17.93,2.25407,1.5702,,,,,,,,,,,,,,,,,,
-211,0.125,1000080160,2,11.9491,1.35588,0.945141,2.00075,16.5633,3.48854,2.4458,2.00071,9.25541,4.72336,3.5663,2.00001,17.1586,2.55367,1.77874,,,,,,,,,,,,,,,,,,
-211,0.175,1000080160,2.00001,15.4758,1.87576,1.30716,2.0056,17.1068,3.86658,3.01745,2.00078,9.75179,5.09754,4.03532,2.00006,17.3862,3.02002,2.10493,,,,,,,,,,,,,,,,,,
-211,0.225,1000080160,3.11077,9.3617,1.8476,2.6649,3.09655,17.2015,3.91361,6.45352,2.00102,15.7099,5.47827,4.58452,2.00003,9.54119,3.65252,2.56411,,,,,,,,,,,,,,,,,,
-211,0.275,1000080160,4.36015,1.46207,1.29088,1.15764,4.34185,9.25903,3.67953,5.35867,2.00068,17.9955,5.69503,4.92914,2.03085,17.9792,4.1664,5.39496,,,,,,,,,,,,,,,,,,
-211,0.325,1000080160,4.6888,1.23125,1.18409,0.945079,5.02317,10.199,3.74545,5.22988,2.00037,17.9963,5.90394,5.28053,2.00003,9.23987,4.29017,3.09971,,,,,,,,,,,,,,,,,,
-211,0.375,1000080160,4.73266,1.31691,1.25238,1.01977,6.1364,5.01777,3.48885,4.18365,2.00108,17.0759,6.13919,5.72139,2.00054,12.7003,4.34615,3.1661,,,,,,,,,,,,,,,,,,
-211,0.425,1000080160,4.79179,1.4349,1.34292,1.12103,6.41767,5.03033,3.58972,4.33405,2.00034,15.884,6.33063,6.10486,2.00047,14.9556,4.43408,3.24501,,,,,,,,,,,,,,,,,,
-211,0.475,1000080160,4.87851,1.41225,1.33744,1.09659,6.52338,5.40275,3.79301,4.86453,2.00783,11.0533,6.74732,7.39091,2.00018,15.3633,4.62094,3.43579,,,,,,,,,,,,,,,,,,
-211,0.525,1000080160,4.88214,1.56102,1.43994,1.22661,7.03841,4.61743,3.59762,4.21186,2.0081,10.0093,7.03162,8.03951,2.00003,17.6138,4.6541,3.47588,,,,,,,,,,,,,,,,,,
-211,0.575,1000080160,4.91039,1.59498,1.46628,1.25465,7.74081,4.59751,3.78013,4.601,2.00005,17.9892,7.60156,9.06663,2.00029,16.4949,5.27054,4.25745,,,,,,,,,,,,,,,,,,
-211,0.625,1000080160,5.03484,1.58783,1.47934,1.24337,7.95617,4.17826,3.60183,4.08192,3.04264,10.7255,7.63146,21.7788,2.00005,13.5626,5.45517,4.51636,,,,,,,,,,,,,,,,,,
-211,0.675,1000080160,4.9768,1.71872,1.55532,1.35706,8.03333,4.10277,3.56551,3.99251,3.57355,15.2866,7.66367,21.7619,2.00041,13.4652,5.99558,5.42566,,,,,,,,,,,,,,,,,,
-211,0.725,1000080160,5.12052,1.71401,1.57545,1.34864,7.78272,5.05986,4.04736,5.36993,4.86339,14.744,7.19654,19.4842,2.0003,9.97372,6.7501,6.9273,,,,,,,,,,,,,,,,,,
-211,0.775,1000080160,5.11291,1.86792,1.67014,1.47782,8.07206,3.91174,3.44909,3.72089,3.57756,17.206,8.42287,24.7228,2.00087,17.9006,6.49087,6.39435,,,,,,,,,,,,,,,,,,
-211,0.825,1000080160,5.17914,2.01959,1.77201,1.60006,7.96306,4.17319,3.59571,4.07272,6.41101,12.6022,7.02016,19.2635,2.00175,9.00281,8.32425,10.9761,,,,,,,,,,,,,,,,,,
-211,0.875,1000080160,5.18991,2.01077,1.76873,1.59323,8.30476,4.1635,3.63744,4.1751,6.08278,15.4765,7.58259,21.7259,6.84575,10.5001,5.97151,20.4695,,,,,,,,,,,,,,,,,,
-211,0.925,1000080160,5.23938,2.0382,1.7944,1.61504,8.51161,4.25102,3.73415,4.38968,2.01521,10.2725,9.87554,23.8289,2.00205,11.6676,10.3423,24.723,,,,,,,,,,,,,,,,,,
-211,0.975,1000080160,5.34451,2.09623,1.84857,1.66201,8.98722,4.59001,3.94602,5.03554,2.25018,16.417,9.97909,21.8458,5.33298,14.6283,8.02091,22.9245,,,,,,,,,,,,,,,,,,
-211,1.025,1000080160,5.44644,2.10371,1.87264,1.66692,8.69886,4.24802,3.7368,4.40765,2.03431,17.3059,10.9883,23.1939,6.49406,14.0963,7.83058,22.4078,,,,,,,,,,,,,,,,,,
-211,1.075,1000080160,5.57063,2.13587,1.91438,1.6919,9.20832,4.41649,3.86067,4.73466,2.41206,16.376,12.4996,32.8353,4.49048,9.98456,8.54564,26.1693,,,,,,,,,,,,,,,,,,
-211,1.125,1000080160,5.70869,2.161,1.95433,1.71026,8.49778,5.47117,4.44776,6.64122,2.00005,15.9631,9.8314,24.7169,2.0207,16.7331,8.50761,12.496,,,,,,,,,,,,,,,,,,
-211,1.175,1000080160,5.5891,2.19443,1.95389,1.73896,8.6966,5.86662,4.69891,7.5815,2.0241,9.34421,10.3567,24.0796,2.0004,10.248,8.06601,10.1873,,,,,,,,,,,,,,,,,,
-211,1.225,1000080160,5.62891,2.3552,2.05457,1.86958,9.69141,6.01643,4.69392,7.55084,2.00556,16.3808,16.2034,33.5305,2.00113,10.1594,8.1261,10.4576,,,,,,,,,,,,,,,,,,
-211,1.275,1000080160,5.80193,2.33053,2.07433,1.84929,9.61807,5.83762,4.62185,7.24302,3.19464,10.6345,8.61402,28.5251,2.00002,14.0893,7.58169,9.0208,,,,,,,,,,,,,,,,,,
-211,1.325,1000080160,5.74438,2.50157,2.16177,1.98693,9.59004,5.62177,4.49674,6.82449,2.23526,14.229,7.19633,22.7507,2,11.2846,7.15132,7.97164,,,,,,,,,,,,,,,,,,
-211,1.375,1000080160,5.95127,2.41663,2.15379,1.91904,8.50266,5.07991,4.16122,5.80387,2.00031,10.6039,8.78652,12.8064,2.00037,9.28962,7.52775,8.83827,,,,,,,,,,,,,,,,,,
-211,1.425,1000080160,6.02466,2.43382,2.17773,1.93268,9.56029,4.54976,3.87685,4.84322,2.00021,16.3154,8.73211,12.6338,2.00008,14.9391,5.93863,5.34751,,,,,,,,,,,,,,,,,,
-211,1.475,1000080160,5.978,2.62404,2.27972,2.08818,9.93227,4.68087,3.88767,4.88729,2.00019,9.12535,8.05706,10.6239,2.00007,10.1515,7.33801,8.38452,,,,,,,,,,,,,,,,,,
-211,1.525,1000080160,6.02566,2.52738,2.23447,2.00936,10.6423,5.63476,4.14737,5.78312,2.00024,11.2837,7.12533,8.40537,2.00015,13.7016,8.06641,10.2323,,,,,,,,,,,,,,,,,,
-211,1.575,1000080160,6.11518,2.6816,2.34123,2.13676,9.40262,3.37105,3.12357,3.00535,2.00015,9.36873,9.39286,25.3675,2.00186,9.56593,6.58669,6.60673,,,,,,,,,,,,,,,,,,
-211,1.625,1000080160,6.15681,2.91144,2.47853,2.3244,9.79307,5.36329,4.29919,6.19386,2.0009,10.5404,9.45467,25.1835,2.00146,14.6755,6.52079,6.47707,,,,,,,,,,,,,,,,,,
-211,1.675,1000080160,6.41478,2.53081,2.30588,2.01026,10.2123,5.06606,3.98328,5.27057,2.00006,10.2799,9.48129,14.6641,2,12.0787,6.16225,5.75974,,,,,,,,,,,,,,,,,,
-211,1.725,1000080160,6.25826,2.67257,2.36437,2.13192,10.591,5.19249,3.93662,5.14847,2.00002,10.6137,8.37873,11.4488,2.00035,17.9815,6.01003,5.45494,,,,,,,,,,,,,,,,,,
-211,1.775,1000080160,6.40806,2.66763,2.39014,2.12765,10.419,3.74903,3.18198,3.29567,2.00004,15.1,6.7124,7.38846,2,9.00739,6.75959,6.9354,,,,,,,,,,,,,,,,,,
