probe,ke,target,meanhA,meanErrhA,stdhA,stdErrhA,meannhN,meanErrhN,stdhN,stdErrhN,meanINCL,meanErrINCL,stdINCL,stdErrINCL,meanGeant4,meanErrGeant4,stdGeant4,stdErrGeant4
-211,1.675,1000060120,2.96394,8.0745,3.65521,5.62464,-1.03578,1.20978,1.20963,0.848486,-1.60909,0.62502,0.621245,0.4221,-0.632354,1.08356,1.08355,0.759304
-211,1.725,1000060120,2.55095,6.40361,3.44534,4.84702,-0.928619,1.23784,1.23768,0.868419,-1.39565,0.742771,0.742531,0.51808,-0.528586,1.23003,1.23,0.861594
-211,1.775,1000060120,2.4881,5.65374,3.26285,4.31426,-1.02818,1.34445,1.34362,0.945407,-1.52501,0.757686,0.757481,0.528482,-0.333334,1.11785,1.11785,0.782878
-211,1.825,1000060120,2.71099,5.94454,3.2568,4.3407,-1.09461,1.10134,1.10131,0.771422,-1.35235,0.692859,0.692235,0.481851,-0.300035,1.32667,1.32658,0.929804
-211,1.875,1000060120,3.60927,10.5443,3.83356,6.39231,-1.10534,1.22484,1.22461,0.857539,-1.12842,0.758266,0.758406,0.531267,-0.239143,1.24088,1.24086,0.868903
-211,1.925,1000060120,3.05389,7.44343,3.46975,5.07973,-1.22077,1.5629,1.55474,1.11946,-1.37804,0.801909,0.801864,0.560734,-0.172133,1.23535,1.23534,0.863858
-211,1.975,1000060120,3.4782,8.73464,3.55192,5.45856,-1.25777,1.23221,1.2318,0.865258,-1.33331,0.819916,0.819897,0.574254,-0.54082,1.17425,1.17424,0.820501
-211,2.025,1000060120,3.02649,6.50661,3.25174,4.46463,-1.37097,1.00737,1.00736,0.705188,-1.21999,0.825539,0.825545,0.578445,-0.500046,1.30178,1.30168,0.912201
-211,0.075,1000080160,-1.39453,0.698086,0.697363,0.48438,-1.47721,1.2634,1.26117,0.890031,-0.928947,0.960535,0.960535,0.673056,-1.06738,0.802889,0.802945,0.56297
-211,0.125,1000080160,-1.34312,1.41777,1.41363,1.00445,-1.45197,1.3223,1.31936,0.934132,-1.01309,0.95086,0.95086,0.666577,-1.0669,0.812844,0.812886,0.569844
-211,0.175,1000080160,-1.27769,2.01036,1.9421,1.51614,-1.42787,1.363,1.35907,0.965206,-1.05017,0.957943,0.957943,0.670107,-1.09166,0.822287,0.822316,0.576362
-211,0.225,1000080160,-1.13618,2.89587,2.56549,2.40305,-1.36887,1.43851,1.43362,1.02163,-1.07412,0.953183,0.953183,0.666668,-1.15452,0.80398,0.804013,0.563556
-211,0.275,1000080160,-1.27467,4.40236,3.28642,4.08163,-1.36215,1.51305,1.50431,1.08088,-1.11384,0.95033,0.95033,0.665786,-1.20498,0.782348,0.782377,0.547079
-211,0.325,1000080160,-1.02793,5.07831,3.63367,5.15651,-1.32263,1.5174,1.5087,1.08408,-1.12948,0.974168,0.974167,0.682445,-1.1911,0.799243,0.799267,0.560163
-211,0.375,1000080160,-0.941958,5.45859,3.82894,5.78472,-1.23357,1.58991,1.57958,1.14205,-1.13623,0.968248,0.968247,0.677016,-1.2023,0.785849,0.785877,0.549585
-211,0.425,1000080160,-0.68366,4.8114,3.61992,5.09933,-1.34856,1.63879,1.62236,1.18657,-1.13115,0.956569,0.956569,0.668451,-1.15143,0.77233,0.772411,0.540623
-211,0.475,1000080160,-0.610351,5.30397,3.85117,5.88853,-1.29894,1.62002,1.60445,1.16904,-1.13719,0.966755,0.966754,0.677254,-1.17773,0.810226,0.810248,0.567843
-211,0.525,1000080160,-0.583395,4.53344,3.5089,4.74464,-1.23223,1.59964,1.58814,1.1492,-1.14193,0.98286,0.982859,0.686614,-1.17021,0.808816,0.808841,0.566879
-211,0.575,1000080160,-0.309207,4.79607,3.67211,5.28226,-1.18016,1.56098,1.5522,1.11541,-1.13784,0.990644,0.990642,0.69392,-1.20838,0.767329,0.76737,0.536868
-211,0.625,1000080160,-0.320015,5.12616,3.83108,5.80405,-1.02653,1.51261,1.50871,1.07312,-1.15165,0.979975,0.979973,0.68646,-1.14162,0.83812,0.838134,0.58733
-211,0.675,1000080160,-0.220293,4.61627,3.59464,5.02209,-1.14881,1.59471,1.586,1.14166,-1.19558,0.982417,0.982414,0.687691,-1.20182,0.772344,0.772386,0.540598
-211,0.725,1000080160,-0.0414399,4.7331,3.66391,5.24583,-1.08765,1.45494,1.4507,1.02855,-1.14683,1.04071,1.0407,0.72916,-1.17523,0.786142,0.786186,0.55001
-211,0.775,1000080160,0.0315206,4.91172,3.73616,5.51165,-1.08092,1.54642,1.54083,1.10134,-1.17914,0.982886,0.982883,0.688509,-1.18111,0.828432,0.828444,0.580406
-211,0.825,1000080160,0.170073,4.4513,3.5108,4.76312,-1.24062,1.67331,1.65287,1.21101,-1.1627,0.983257,0.983255,0.688788,-1.20806,0.863499,0.863502,0.603698
-211,0.875,1000080160,0.450305,4.94349,3.70272,5.426,-1.19275,1.61879,1.60791,1.16437,-1.16434,0.978042,0.97804,0.684971,-1.19675,0.9001,0.9001,0.630477
-211,0.925,1000080160,0.393184,5.16087,3.79831,5.77707,-1.23261,1.7359,1.71069,1.26406,-1.16275,1.02826,1.02825,0.719916,-1.14963,0.883758,0.883761,0.618035
-211,0.975,1000080160,0.902846,5.86766,3.94988,6.33985,-1.33365,1.49813,1.49164,1.0686,-1.25311,0.97854,0.978537,0.685439,-1.12332,0.863667,0.863674,0.605172
-211,1.025,1000080160,0.974728,5.9642,3.9678,6.39156,-1.27113,1.68642,1.66857,1.22566,-1.24612,0.998699,0.998694,0.699465,-1.06808,1.09235,1.09233,0.765266
-211,1.075,1000080160,0.716691,4.64695,3.48758,4.77893,-1.13787,1.49115,1.48698,1.05893,-1.23602,0.899483,0.899483,0.630071,-1.02356,1.00669,1.00668,0.705157
-211,1.125,1000080160,1.24983,6.3257,3.97809,6.47416,-1.02396,1.4585,1.45315,1.03132,-1.33448,0.968493,0.968489,0.678427,-1.00802,1.05092,1.05091,0.735474
-211,1.175,1000080160,1.54302,6.57228,3.90554,6.31604,-1.29308,1.60499,1.59309,1.15486,-1.24249,0.998925,0.99892,0.699705,-0.897853,1.10777,1.10776,0.775006
-211,1.225,1000080160,1.96358,7.94388,4.08561,7.04005,-1.34936,1.41742,1.41379,1.00406,-1.29327,0.935104,0.935102,0.654206,-0.785718,1.11507,1.11506,0.78078
-211,1.275,1000080160,2.33898,11.7424,4.72116,17.2326,-1.04532,1.58151,1.57018,1.12851,-1.24875,0.959931,0.959929,0.672272,-0.915133,1.20433,1.20424,0.844219
