category,quantity,particle,target,hA2018_slope,hA2018_intercept,hN2018_slope,hN2018_intercept,INCL_slope,INCL_intercept,Geant4_slope,Geant4_intercept
Sum,Mean,211,1000060120,0.9592288051851132,4.200376055728441,3.5517461325535296,4.138727272475099,1.6918341131326402,3.947942824222921,1.8537885708425044,3.6526211592844735
Sum,Std,211,1000060120,0.6443347243275168,0.8277908143142516,0.3735033262733132,3.4614510758473616,0.6947642845915094,1.232131070920858,0.15743418352933514,2.701190172922646
Sum,Mean,211,1000180400,3.6453913296754616,5.106356345423961,10.638366345011686,5.718506723861651,-0.3602235219101346,2.2879870640585565,9.329398488953288,4.038015663214914
Sum,Std,211,1000180400,2.325280300524031,1.6967979398255295,1.5908106393499364,5.702928403254257,15.219961901997785,1.642315087031501,1.8293749403301574,2.9544057269972845
Sum,Mean,211,1000080160,1.3200481947149982,4.34680794820619,3.6167815777039376,5.557190834986608,2.1843806059893986,3.594670537547489,2.4350938612880846,4.214236026950378
Sum,Std,211,1000080160,0.9575033447922323,0.9377153022311482,-0.33369383035807987,4.629672717225574,0.5472443420467246,1.4912303299019738,2.1513583322090475,1.8185925134276775
Sum,Mean,211,1000260560,5.106129756802368,5.86389161872039,14.19040425919618,4.9143034728417145,4.884004918791552,6.035660644650118,11.896869783336168,3.4700348177704283
Sum,Std,211,1000260560,3.1707260252307607,2.2263281822686682,2.1885258222320854,6.490067502701348,11.487793724544428,-0.7044783326413895,1.8211807618502036,3.3478030638521803
Difference,Mean,211,1000060120,2.9483490890480466,1.8038863017190279,-0.3825621364762739,2.5154602877611953,0.05079121181391333,2.357638930591313,-0.04100785927518169,2.30508287229398
Difference,Std,211,1000060120,-0.21320668077408245,3.845148762148943,-0.0304083077676085,1.2994012964601107,-0.060715641875097814,0.8372877308581645,0.1751857129368698,0.6191437060216335
Difference,Mean,211,1000180400,2.336784550039029,0.9009953228271742,-1.0626878296771172,1.7151979850882202,-0.7719079684217985,0.05407779917695743,-1.0668473331409007,0.4062000010165783
Difference,Std,211,1000180400,0.2747352083064154,3.3198266172494364,0.5182360904977035,2.2119777174830233,0.1561322369759357,1.2113635291081803,-0.09326930519956256,1.1959910782689187
Difference,Mean,211,1000080160,2.750571452419076,1.987662521496747,-0.305945835441753,2.3925150737803795,0.019131697786358703,2.357205923331218,-0.16424685832858188,2.472919453736367
Difference,Std,211,1000080160,-0.16410912705744707,4.007292012054002,0.0521840831703817,1.523989239795505,0.08363877658915486,0.9061875695596922,0.06928228783278723,0.6933703450835891
Difference,Mean,211,1000260560,1.7778720912937986,0.997877199431743,-1.1344472433550417,1.8949933191836832,-1.240617955469131,0.9346150216200398,-1.2249758041688104,1.2785396308394745
Difference,Std,211,1000260560,0.3504009077728929,3.474101841044195,0.76639850189039,2.386401094528198,0.3675156013834173,1.2002079186597476,-0.11258397056796676,1.434374964958169
Sum,Mean,111,1000060120,0.7226317086606202,4.239466372305571,1.9949014611223115,5.468329708822262,1.7523314581103993,3.941063997620386,2.217454118670142,3.1429232464079653
Sum,Std,111,1000060120,0.6816324179855386,0.7818356271889947,-0.7681363603352973,3.7289004248801643,0.6809184085850506,1.2140172049295743,0.44291554147540335,2.373648370673312
Sum,Mean,111,1000180400,3.3501430485812427,5.168902450057487,8.462558949549997,7.081877684915427,-0.8511758598651324,3.4275924879974244,9.416591485398271,3.7047133814000794
Sum,Std,111,1000180400,2.4766930244674183,1.6868720472388876,1.97525991663036,5.259248140247083,16.36229750425982,0.8053476826914254,1.9860211793880211,2.9999645280091958
Sum,Mean,111,1000080160,1.1372146361806048,4.3145443592237935,3.1279042878733834,6.0973129346424315,2.0603916227180523,3.667411598480924,3.599385122446641,3.123428836456903
Sum,Std,111,1000080160,0.9344672547410421,0.9302584944262027,0.4328063149169723,3.750781448934127,0.7262157766224475,1.3294276298433554,1.8215169480341071,2.1267062270290973
Sum,Mean,111,1000260560,5.073236540462539,5.740811817043554,11.424744819746428,6.8829110187324725,5.099943233457696,6.217423143213496,12.49464710654197,2.7738412910009367
Sum,Std,111,1000260560,3.160296777650489,2.2887860551266033,2.800742968814881,5.847764576726229,11.27140259141947,-0.6269301763145689,1.8114058136925646,3.5086559029987976
Difference,Mean,111,1000060120,2.9025346225227375,-0.11887417171716352,0.0949072274252919,0.45137858833422434,-0.06442083433825474,0.564618880249098,-0.03775106341250467,0.5551594988985623
Difference,Std,111,1000060120,-0.008608470246797228,3.764293068963103,-0.08902859566970855,1.381990365871169,-0.08812723797755617,0.8731355419025959,-0.1280835955527424,0.8734872524521023
Difference,Mean,111,1000180400,1.9505091735122844,-0.47169217292737226,-0.8197177138889217,-0.007469728788084051,-0.8420761552890041,-1.6603128731794559,-1.2443007189056596,-1.2289323804074452
Difference,Std,111,1000180400,0.3290039076857334,3.331949858949846,0.5165208366795575,2.228006820451441,0.10157017401957269,1.3241733875359762,-0.32498628145090525,1.5456541075500998
Difference,Mean,111,1000080160,3.270102208665074,-0.4265439517824674,0.10992166904212664,0.41709713381786284,-0.009478841214387024,0.6118068809610446,-0.07818838348878121,0.6318575834651966
Difference,Std,111,1000080160,0.08478208916019536,3.7530015787841964,0.03772201481036852,1.5712559598295806,0.04785789953115871,0.9868137330514511,-0.07866445911798503,0.910415846278532
Difference,Mean,111,1000260560,1.3920153433355582,-0.5023686831581199,-0.6753757169925666,0.020715206369207984,-1.2968644515376186,-0.7904778104806067,-1.4901154179188782,-0.270722767122314
Difference,Std,111,1000260560,0.34744797845283815,3.4951110876758666,0.6053567530071837,2.504312120427153,0.3425187295054273,1.2592815738869303,-0.22847106332575717,1.6383343834541282
