category,quantity,particle,target,hA2018_slope,hA2018_intercept,hA2018_floor,hA2018_exp,hN2018_slope,hN2018_intercept,hN2018_floor,hN2018_exp,INCL_slope,INCL_intercept,INCL_floor,INCL_exp,Geant4_slope,Geant4_intercept,Geant4_floor,Geant4_exp
Sum,Gamma,2212,1000060120,-1.1923219891962766e-07,0.20974521902509802,0.0031110958562007235,4.9988820777326515,-1.5993347176354311,1.759437512854046,8.35815772704516e-08,0.10319515210010101,-3.8266512996128137,2.6683615456919836,0.47015393121655663,0.7241021800867729,-4.460493484465091,0.9880130660957691,0.37758020162914807,1.6195598707356103
Difference,Std,2212,1000060120,0.02560973041423198,2.0761241747807078,,,-0.024132361491695287,1.565050639268519,,,-0.04291104381659672,1.085174506232109,,,-0.0383386272479761,1.154681879033708,,
Difference,Mean,2212,1000060120,0.0396571324027728,1.58947605253329,,,0.006663143539467509,1.4666223303239108,,,0.0686426072656997,1.378278157772166,,,-0.1095537886137199,1.7053868574518147,,
Sum,Gamma,2212,1000180400,-1.8537866131183611,0.741920897180002,5.879942800018911e-14,0.13201932420637827,-3.0969526168227235,0.1977299700934502,0.14582429854939835,2.1182249884754287,-3.639620698073184,2.431018099345142,0.16901172052071148,0.6697306657595107,-3.8890800514471584,2.3949742692029834,0.14513455372255868,0.6884727416156216
Difference,Std,2212,1000180400,-0.023045130626543342,2.4053804969199764,,,0.20427161019249374,2.0487114415842034,,,0.24771544105568433,1.3776184486007992,,,0.12203569429448513,1.559850821875513,,
Difference,Mean,2212,1000180400,-0.008582413799883004,0.4249121686910766,,,-0.19643203034255086,0.9924735124411181,,,-0.08807115396869825,0.3556651534331176,,,-0.5100941023845265,0.8341632196554453,,
Sum,Gamma,2212,1000080160,-4.7337693716287266e-08,0.18689154762774668,6.046364045251342e-05,4.889036955697104,-2.253636471402674,2.8313762883629803,7.212907574740551e-07,0.11521328553355419,-3.837614729387586,2.97228487251254,0.491569456588211,0.7331699391979144,-4.066132827657916,1.0377114424660734,0.33240761883351716,1.502059916927963
Difference,Std,2212,1000080160,0.0011061285685336486,2.1667024967229094,,,-0.008941594493101723,1.680301904371611,,,0.009172307329456536,1.1461397807413263,,,-0.011620994496255749,1.2013551232873054,,
Difference,Mean,2212,1000080160,0.018709754372520537,1.5989311055728082,,,-0.0028684497630078187,1.4801554475138008,,,0.0681014518771832,1.3906133958841593,,,-0.1522977317838119,1.8341598878738536,,
Sum,Gamma,2212,1000260560,-0.7263961407034419,0.1819776336423134,0.004143158242376577,0.69349255725917,-2.675749128890445,0.22207514552657404,0.10493807442354083,1.7441384001246976,-3.95631422207686,4.573038765542686,0.12097945673652212,0.4308320450494367,-3.8650526284426916,3.470015489482792,0.09108533191458865,0.49533013890931415
Difference,Std,2212,1000260560,-0.0028944044552996484,2.520357503896708,,,0.31958044275862196,2.160586062632196,,,0.31243707732366766,1.3730637918114168,,,0.24385816046322184,1.4853304450697649,,
Difference,Mean,2212,1000260560,0.0004517009817837092,0.7073756517268026,,,-0.23053774729902687,1.1033128059631916,,,-0.15813649844710598,1.1519722868633209,,,-0.5471792300579604,1.868372606257731,,
Sum,Gamma,2112,1000060120,-0.5661996027312045,6.519623319510559e-08,0.2119098658182028,2.788026141311752,-1.4010140217603597,1.5131005281763399,9.457843167606902e-06,0.1000000452691144,-4.7443939774226775,9.722958900744253,0.4517455201222418,0.4125609155814604,-4.297116667632579,1.105927811197587,0.3746207506533971,1.3948503387742655
Difference,Std,2112,1000060120,0.023751439143243402,2.049684085473674,,,-0.014585795172613825,1.5577961991830604,,,-0.04443593781206945,1.0926724050745522,,,-0.029560105158426553,1.131715202902269,,
Difference,Mean,2112,1000060120,-0.04796594396350684,-0.402952556013544,,,-0.0029699523178430276,-0.4804786685898472,,,-0.09908632358918151,-0.19682508469154225,,,0.06781081103845454,-0.4634973841361859,,
Sum,Gamma,2112,1000180400,-1.7792750197140013,0.6912613753200751,1.2110763732413755e-08,0.1325728915107499,-2.952234451538447,0.2125224752054378,0.15439671512966224,1.8363046269448478,-3.728869409616283,2.634023038507903,0.16769562468725416,0.6422384378188014,-3.78395051995972,2.228263095633258,0.14341261447902026,0.7025730480608494
Difference,Std,2112,1000180400,-0.01817708224735748,2.3256555297211707,,,0.17238238616865176,2.0530343732650715,,,0.20884902108656656,1.421889200056227,,,0.19196667111478372,1.461899218158369,,
Difference,Mean,2112,1000180400,-0.09828178309135911,-1.389852224879233,,,-0.16245065690282456,-0.9717432688002735,,,-0.3407579883610341,-0.8803103775018672,,,-0.31465183206730196,-1.2028311749232494,,
Sum,Gamma,2112,1000080160,-34.83179076825435,0.006406937687784935,0.1860792744283722,1.344243624916732,-5.009340314903522,8.396518351497807,0.2507059272992478,0.18791345724129616,-4.718664278089317,9.980045083284743,0.48098433641302235,0.44044585337781905,-4.206862364179401,1.0752457807901676,0.34082864296979204,1.4368498730634103
Difference,Std,2112,1000080160,-0.0022442093582613065,2.143080019023712,,,-0.007744540098336472,1.6846293983256282,,,-0.000936105268014728,1.1706655517866464,,,-0.008569533568402017,1.1942820073660347,,
Difference,Mean,2112,1000080160,-0.036337162215383634,-0.40397533261470625,,,0.014596895571078572,-0.5019200396228494,,,-0.10601953052054208,-0.09030333955703274,,,0.04778336356389007,-0.3310444401692355,,
Sum,Gamma,2112,1000260560,-0.723598223173766,0.17806163629737767,0.005587635432471488,0.6918387455045835,-2.7469177075803772,0.22535316081476356,0.11472222856281973,1.6610974980169055,-4.166038759045779,5.363784586881137,0.12347624756868149,0.42633770886292893,-3.8639137364388576,3.4687721405518444,0.09163303716089762,0.48730156306243
Difference,Std,2112,1000260560,-0.0013751364150136336,2.48090941177837,,,0.27395203312648575,2.174033025999365,,,0.2935244966134124,1.4030741902923323,,,0.23364264143394897,1.5123066400641403,,
Difference,Mean,2112,1000260560,-0.0859542440940065,-1.0982805814581154,,,-0.1745430814996444,-0.8599324500694451,,,-0.4009763005692555,-0.058146338205696146,,,-0.33934649050602883,-0.13826961844948005,,
