category,quantity,particle,target,hA2018_slope,hA2018_intercept,hA2018_floor,hA2018_exp,hN2018_slope,hN2018_intercept,hN2018_floor,hN2018_exp,INCL_slope,INCL_intercept,INCL_floor,INCL_exp,Geant4_slope,Geant4_intercept,Geant4_floor,Geant4_exp
Sum,Gamma,2212,1000060120,-1.1923219891962766e-07,0.20974521902509802,0.0031110958562007235,4.9988820777326515,-1.5993347176354311,1.759437512854046,8.35815772704516e-08,0.10319515210010101,-6.479767259228751,8.060312255333479,0.19351288326989294,0.37949234151717526,-4.862096689204709,0.5873231746890627,0.29331727010068254,1.8499179900821696
Difference,Std,2212,1000060120,0.02560973041423198,2.0761241747807078,,,-0.024132361491695287,1.565050639268519,,,-0.06730399366261408,0.9921165566954462,,,-0.04026822115616091,1.1312319484689508,,
Difference,Mean,2212,1000060120,0.0396571324027728,1.58947605253329,,,0.006663143539467509,1.4666223303239108,,,0.10329446598505188,1.3434356160531995,,,-0.09207607788086092,1.6805019579552185,,
Sum,Gamma,2212,1000180400,-1.8537866131183611,0.741920897180002,5.879942800018911e-14,0.13201932420637827,-3.0969526168227235,0.1977299700934502,0.14582429854939835,2.1182249884754287,-4.285229934316682,2.119321189935435,0.10861777172193575,0.6009752388456969,-3.806561636268192,2.107967844653875,0.11748712195007527,0.6798477329472434
Difference,Std,2212,1000180400,-0.023045130626543342,2.4053804969199764,,,0.20427161019249374,2.0487114415842034,,,0.25958528680946125,1.3365155031909517,,,0.12722657262050063,1.5463230006540196,,
Difference,Mean,2212,1000180400,-0.008582413799883004,0.4249121686910766,,,-0.19643203034255086,0.9924735124411181,,,-0.099215087084773,0.3685675540820239,,,-0.5176629251549094,0.8338360613112863,,
Sum,Gamma,2212,1000080160,-4.7337693716287266e-08,0.18689154762774668,6.046364045251342e-05,4.889036955697104,-2.253636471402674,2.8313762883629803,7.212907574740551e-07,0.11521328553355419,-4.971340342710078,0.8426554997410514,0.21118009339078225,1.0758911642209064,-4.408173434097562,0.803780567209553,0.26702839568362446,1.6773694943080468
Difference,Std,2212,1000080160,0.0011061285685336486,2.1667024967229094,,,-0.008941594493101723,1.680301904371611,,,-0.03486472134866514,1.082434510745708,,,-0.01356720077343973,1.1882140641989916,,
Difference,Mean,2212,1000080160,0.018709754372520537,1.5989311055728082,,,-0.0028684497630078187,1.4801554475138008,,,0.11763527112912342,1.3383835548368819,,,-0.1388838101135208,1.8131904955709526,,
Sum,Gamma,2212,1000260560,-0.7263961407034419,0.1819776336423134,0.004143158242376577,0.69349255725917,-2.675749128890445,0.22207514552657404,0.10493807442354083,1.7441384001246976,-4.572850106831773,3.823570248124404,0.08321197177527724,0.4514798746326701,-3.969599565541112,4.141433008569009,0.059333457569360135,0.4316967208595022
Difference,Std,2212,1000260560,-0.0028944044552996484,2.520357503896708,,,0.31958044275862196,2.160586062632196,,,0.3095864798022455,1.3403615353231937,,,0.23592314220913158,1.4815510431520686,,
Difference,Mean,2212,1000260560,0.0004517009817837092,0.7073756517268026,,,-0.23053774729902687,1.1033128059631916,,,-0.14063186326721022,1.1194372000634922,,,-0.5439489095221561,1.861067340785791,,
Sum,Gamma,2112,1000060120,-0.5661996027312045,6.519623319510559e-08,0.2119098658182028,2.788026141311752,-1.4010140217603597,1.5131005281763399,9.457843167606902e-06,0.1000000452691144,-5.437637930409045,0.7009591386761045,0.19685721989628494,1.0648299949729108,-4.61542231410379,0.5591132590401382,0.28704965231339874,1.8928211716621042
Difference,Std,2112,1000060120,0.023751439143243402,2.049684085473674,,,-0.014585795172613825,1.5577961991830604,,,-0.06658479441191067,1.0010644855265507,,,-0.026642821285038587,1.1081263701962862,,
