category,quantity,particle,target,hA2018_slope,hA2018_intercept,hA2018_floor,hA2018_exp,hN2018_slope,hN2018_intercept,hN2018_floor,hN2018_exp,INCL_slope,INCL_intercept,INCL_floor,INCL_exp,Geant4_slope,Geant4_intercept,Geant4_floor,Geant4_exp
Sum,Gamma,2212,1000060120,-0.6829759073615624,1.763252522401349e-05,0.2101111042317104,0.2933106479471291,-1.2373074200814567,1.0493434253171512,0.007492493835160649,0.10191348566774017,-4.904985306708278,7.274017191603286,0.4217308601767653,0.3821651202663517,-4.745660445335208,0.6051517411973156,0.34364842056856165,1.6317673178744299
Difference,Std,2212,1000060120,0.03252892634923743,2.066800463956539,,,-0.019245291938503106,1.5548344759251278,,,0.014682897886039936,0.7694053018276859,,,-0.012270556072996208,0.7011619581090628,,
Difference,Mean,2212,1000060120,0.017178652762557034,1.6256434164951936,,,-0.011772696709622998,1.5133291986356745,,,0.030556314318846756,1.4645126190425757,,,-0.032946320590337086,1.6004934620664675,,
Sum,Gamma,2212,1000180400,-0.09036407509308512,0.04321338927951208,0.07901373818580575,4.384578584569882,-3.1493680094777914,0.15770599280668435,0.13231350875455516,2.3388051545564985,-3.1534864313224995,0.6943338318784119,0.14764850309530775,0.9714433367602967,-3.3098610827367754,0.5292351785324313,0.1305449323845367,1.117059034100626
Difference,Std,2212,1000180400,0.007489684144978304,2.345828772953891,,,0.19372350384899728,2.1078951128274275,,,0.14748954081093002,1.200495878867016,,,0.023225455361251868,1.2561607614400732,,
Difference,Mean,2212,1000180400,-0.0025455849031654765,0.4166711282254252,,,-0.22525910306150954,1.0204483807872637,,,-0.13649322175017234,-0.7158742649480659,,,-0.3570482885196002,-0.43993925270159573,,
Sum,Gamma,2212,1000080160,-5.711259945467145e-05,0.0003667099843927043,0.180223230377884,0.11640039388495813,-1.761532681297388,1.5400648788413864,2.6893259252782492e-08,0.12721818964307896,-5.019768269623052,8.550613205662225,0.45632967971418964,0.38851346149922866,-4.34082807751487,0.5056864718438926,0.31107659694327683,1.8322780146808828
Difference,Std,2212,1000080160,0.013647099302846355,2.1467447831020103,,,-0.008960064575367577,1.6804045724064391,,,0.04337456532243056,0.8664776280839757,,,-0.006290708353969943,0.7852710115025017,,
Difference,Mean,2212,1000080160,-0.007832869987495439,1.6411933692803466,,,-0.017234702453822637,1.5270956977405485,,,0.0313190467441693,1.5263204654835012,,,-0.05683691383267098,1.74726608021427,,
Sum,Gamma,2212,1000260560,-0.3088480930209614,0.05987573965801045,0.050919831552682766,2.7514713645216866,-2.726904946249578,0.18019480326667064,0.09499907757270333,1.9201425184180378,-3.269948362838073,0.9698358121251058,0.11815389176070765,0.651741367158735,-2.843467364444375,0.714020654551648,0.0770897461142795,0.7597326077789539
Difference,Std,2212,1000260560,0.008231638697484112,2.4651524887871648,,,0.30141337768692367,2.2367617881649386,,,0.2517768730506683,1.1600506751714872,,,0.08618973870496593,1.3493911794327047,,
Difference,Mean,2212,1000260560,-0.004929311985521712,0.7177964277139465,,,-0.25165461514451637,1.1338862992031156,,,-0.3285945289893092,0.05836787482018424,,,-0.512750134426414,0.40922032652017015,,
Sum,Gamma,2112,1000060120,-6.143749979280189e-06,0.18944100502466352,0.01866890384399853,0.3169958760930445,-1.0366027487621652,0.8847827465884984,0.012558397647539646,0.10072309909373145,-5.015316674673083,8.686037261745463,0.4209364952250963,0.3545725514837376,-4.72691970522808,0.5979030936650057,0.3459152961750169,1.6383789614730737
Difference,Std,2112,1000060120,0.02473242400204123,2.0482007023760596,,,-0.011727932498600602,1.5555022890088002,,,-0.011088488297085308,0.8058080269441945,,,-0.0011146593573767571,0.6909324732428738,,
Difference,Mean,2112,1000060120,-0.024703525544499727,-0.4374075588032801,,,0.012936736984599573,-0.5164470210456795,,,-0.04993762636393051,-0.3168315889248889,,,0.01438813780992415,-0.4274904078512219,,
Sum,Gamma,2112,1000180400,-0.07064333200951539,0.04154139938536059,0.08034764435356127,4.873292602030452,-2.9338672775703807,0.16969696933791442,0.14023297354663894,1.9808072007225657,-3.056408979921346,0.5800332619633256,0.14553976325201365,1.0219156399237233,-3.224446422912628,0.4965414982878854,0.12759413868963373,1.1695755553068141
Difference,Std,2112,1000180400,0.01257657878907903,2.2638814586253253,,,0.163925499601143,2.1132006054554138,,,0.07819794327344631,1.3205136772018065,,,0.08992696509346534,1.1986449378288475,,
